Date,Open,High,Low,Close,Adj Close,Volume
20/04/2018,8877.150391,9047.820313,8631.179688,8935.719727,8935.719727,829073400
19/04/2018,8301.820313,8945.139648,8243.490234,8877.080078,8877.080078,979994921
18/04/2018,8189.919922,8321.009766,8136.419922,8301.820313,8301.820313,602099034
17/04/2018,7921.649902,8246.570313,7908.919922,8189.959961,8189.959961,593500791
16/04/2018,8079.77002,8187.600098,7858.120117,7921.629883,7921.629883,580880500
15/04/2018,8376.730469,8430.929688,7929.240234,8079.77002,8079.77002,713471956
14/04/2018,8022.509766,8437.030273,8021.040039,8376.730469,8376.730469,570527804
13/04/2018,7898.740234,8195.339844,7841.189941,8022.509766,8022.509766,537286381
12/04/2018,7927.72998,8237.160156,7758.799805,7899.109863,7899.109863,1171435820
11/04/2018,6977.040039,8051.950195,6791.330078,7927.72998,7927.72998,1490759969
10/04/2018,6871.069824,6999.370117,6839.160156,6977.129883,6977.129883,450141340
9/04/2018,6789.529785,6922.839844,6676.720215,6871.069824,6871.069824,424510977
8/04/2018,7049.919922,7204.279785,6633.689941,6789.529785,6789.529785,901883664
7/04/2018,6917.200195,7132.029785,6911.02002,7049.919922,7049.919922,425825572
6/04/2018,6634.859863,7083.850098,6624.470215,6917.200195,6917.200195,564883141
5/04/2018,6790.450195,6869.529785,6526.669922,6634.859863,6634.859863,605651287
4/04/2018,6815.5,6933.660156,6602.379883,6790.450195,6790.450195,777145174
3/04/2018,7434.299805,7442.419922,6727.089844,6815.5,6815.5,877199782
2/04/2018,7074.649902,7528.970215,7039.879883,7434.299805,7434.299805,905326798
1/04/2018,6835.580078,8218.660156,6792.299805,7074.600098,7074.600098,748861435
31/03/2018,6943.77002,7056.220215,6463.540039,6835.839844,6835.839844,889887684
30/03/2018,6853.75,7228.399902,6806.339844,6943.77002,6943.77002,915400590
29/03/2018,7106.620117,7280.27002,6595.259766,6853.759766,6853.759766,1584675343
28/03/2018,7959.779785,7983.77002,6927.109863,7106.620117,7106.620117,1379180030
27/03/2018,7808.419922,8117.790039,7752.600098,7959.779785,7959.779785,657712114
26/03/2018,8152.180176,8226.240234,7752.299805,7808.47998,7808.47998,930754990
25/03/2018,8548.389648,8690.360352,8395.849609,8472.839844,8472.839844,657643520
25/03/2018,8472.55957,8521.040039,7869.27002,8152.200195,8152.200195,1079038734
24/03/2018,8935.509766,9036.230469,8515.530273,8548.05957,8548.05957,827663165
23/03/2018,8724.980469,8935.879883,8307.580078,8934.799805,8934.799805,939997284
22/03/2018,8911.370117,9107,8500.879883,8724.980469,8724.980469,1023286566
21/03/2018,8920.530273,9184.509766,8778.69043,8911.349609,8911.349609,991376396
20/03/2018,8623.139648,9056.230469,8339.799805,8920.709961,8920.709961,1150462439
19/03/2018,8215.5,8725.599609,8129.660156,8623.139648,8623.139648,1447812723
18/03/2018,7882.669922,8299.860352,7318.459961,8215.400391,8215.400391,1535519444
17/03/2018,8283.230469,8360.639648,7765.410156,7883.450195,7883.450195,901939422
16/03/2018,8267.950195,8616.629883,7924.109863,8283.230469,8283.230469,1082790136
15/03/2018,8216.219727,8432.120117,7698.470215,8268.410156,8268.410156,1519850464
14/03/2018,9160.120117,9360.660156,7966.939941,8217.700195,8217.700195,1385572511
13/03/2018,9142.269531,9486.120117,8856.650391,9160.120117,9160.120117,1228556284
12/03/2018,9543.980469,9907.410156,8796.519531,9142.150391,9142.150391,1435404200
11/03/2018,8797.269531,9735.639648,8484.320313,9544.839844,9544.839844,1374814644
10/03/2018,9252.759766,9518.620117,8727.429688,8797.269531,8797.269531,1084925795
9/03/2018,9316.769531,9433.379883,8393.450195,9252.759766,9252.759766,2081621422
8/03/2018,9928.55957,10119.20996,9086.849609,9316.719727,9316.719727,1492236089
7/03/2018,10735.4502,10913.7002,9470.730469,9928.55957,9928.55957,1858869115
6/03/2018,11440.33008,11441.65039,10589.28027,10735.4502,10735.4502,1210081181
5/03/2018,11503.94043,11694.15039,11431.54981,11440.73047,11440.73047,791471905
4/03/2018,11465.36035,11539.79004,11084.00977,11504.41992,11504.41992,690727335
3/03/2018,11043.12012,11530.66016,11043.12012,11465.36035,11465.36035,812200126
2/03/2018,10929.37012,11191.94043,10801.4502,11043.12012,11043.12012,852908489
1/03/2018,10334.44043,11090.29981,10247.55957,10929.37012,10929.37012,952472120
28/02/2018,10594.75977,11067.75977,10303.13965,10334.44043,10334.44043,1126074675
27/02/2018,10326.5,10879.37988,10154.24023,10594.75977,10594.75977,1060840699
26/02/2018,9610.110352,10457.50977,9411.820313,10326.5,10326.5,1181729273
25/02/2018,9705.730469,9873.790039,9329.44043,9610.110352,9610.110352,793093192
24/02/2018,10175.50977,10528,9396.540039,9705.730469,9705.730469,1244484468
23/02/2018,9847.959961,10420.66992,9604,10175.50977,10175.50977,1399448203
22/02/2018,10481.66016,10941.57031,9757.19043,9847.959961,9847.959961,1795951829
21/02/2018,11256.78027,11295.58008,10256.20996,10481.66016,10481.66016,1982721124
20/02/2018,11182.28027,11802.23047,11130.9502,11256.42969,11256.42969,1640343867
19/02/2018,10418.12012,11265.95996,10336.32031,11182.28027,11182.28027,1186535653
18/02/2018,11097.20996,11288.33984,10161.00977,10417.23047,10417.23047,1659704217
17/02/2018,10188.73047,11119.4502,10074.07031,11097.20996,11097.20996,1327921168
16/02/2018,10033.75,10303.13965,9720.379883,10188.73047,10188.73047,1061827697
15/02/2018,9485.639648,10223.58008,9363.379883,10033.75,10033.75,1666668487
14/02/2018,8544.69043,9508.219727,8542.980469,9485.639648,9485.639648,1220863360
13/02/2018,8911.169922,8955.150391,8379.349609,8544.69043,8544.69043,853320352
12/02/2018,8084.609863,8997.339844,8084.410156,8911.269531,8911.269531,1085921871
11/02/2018,8569.320313,8573.349609,7862.310059,8084.609863,8084.609863,1013771945
10/02/2018,8696.830078,9081.490234,8176.25,8569.290039,8569.290039,1348923336
9/02/2018,8259.259766,8743.200195,7775.359863,8696.830078,8696.830078,1348072086
8/02/2018,7593.779785,8643.94043,7590.47998,8260.69043,8260.69043,1594673973
7/02/2018,7701.25,8572.679688,7208.859863,7592.720215,7592.720215,2159765331
6/02/2018,6936.430176,7932.379883,5968.359863,7701.25,7701.25,3397596513
5/02/2018,8218.049805,8391.290039,6627.310059,6937.080078,6937.080078,2534149181
4/02/2018,9251.269531,9400.990234,7889.830078,8218.049805,8218.049805,1413207410
3/02/2018,8872.870117,9504.370117,8194.679688,9251.269531,9251.269531,1253484523
2/02/2018,9114.730469,9147.929688,7786.200195,8870.820313,8870.820313,2768759876
1/02/2018,10226.86035,10280.83984,8726.950195,9114.719727,9114.719727,1964308989
31/01/2018,10107.40039,10377.95996,9698.129883,10226.86035,10226.86035,1230902973
30/01/2018,11234.32031,11263.7002,9871.209961,10107.25977,10107.25977,1720894077
29/01/2018,11767.74023,11860.29004,11089.51953,11233.9502,11233.9502,920836244
28/01/2018,11460.38965,12064.19043,11407.94043,11767.74023,11767.74023,1038153169
27/01/2018,11104.33984,11638.69043,10879.2002,11459.70996,11459.70996,1031091633
26/01/2018,11175.87012,11656.54004,10346.86035,11104.2002,11104.2002,1560135332
25/01/2018,11428.11035,11741.91992,10930.33984,11175.87012,11175.87012,1061064251
24/01/2018,10853.78027,11531.59961,10506.54981,11429.01953,11429.01953,1286435482
23/01/2018,10814.51953,11388.51953,9980.5,10858.23047,10858.23047,1710180828
22/01/2018,11549.98047,11913.74023,10067.75977,10814.51953,10814.51953,1811992345
21/01/2018,12783.54004,12787.34961,11101.73047,11549.92969,11549.92969,1552755289
20/01/2018,11521.82031,13031.04004,11502.11035,12783.94043,12783.94043,1492721765
19/01/2018,11175.51953,11780.49023,10867.17969,11521.75977,11521.75977,1264875700
18/01/2018,11162.7002,12018.42969,10642.33008,11175.51953,11175.51953,2357251805
17/01/2018,11282.49023,11736.29981,9205.379883,11162.7002,11162.7002,3666978316
16/01/2018,13634.59961,13648.83984,10032.69043,11282.49023,11282.49023,3842651741
15/01/2018,13638.62988,14355.82031,13416.70996,13631.98047,13631.98047,1170462750
14/01/2018,14244.12012,14415.66992,13031.91016,13638.62988,13638.62988,1112590573
13/01/2018,13841.19043,14595.04004,13830.28027,14243.12012,14243.12012,1021352776
12/01/2018,13308.05957,14129.08008,12851.91016,13841.19043,13841.19043,1402292716
11/01/2018,14920.36035,14979.95996,12825.9502,13308.05957,13308.05957,2373494121
10/01/2018,14468.08984,14919.49023,13450.54004,14919.49023,14919.49023,2025083791
9/01/2018,14976.16992,15390.28027,14221.54981,14468.5,14468.5,1486802326
8/01/2018,16228.25977,16302.91992,13902.30957,14976.16992,14976.16992,2166366561
7/01/2018,17174.5,17184.81055,15791.12988,16228.16016,16228.16016,1309532650
6/01/2018,16954.75977,17252.84961,16286.57031,17172.30078,17172.30078,1412703790
5/01/2018,15180.08008,17126.94922,14832.36035,16954.7793,16954.7793,2283988962
4/01/2018,15156.49023,15408.66016,14244.66992,15180.08008,15180.08008,1656714736
3/01/2018,14754.08984,15435.00977,14579.70996,15156.62012,15156.62012,1604206990
2/01/2018,13444.87988,15306.12988,12934.16016,14754.12988,14754.12988,1956783037
1/01/2018,13850.49023,13921.53027,12877.66992,13444.87988,13444.87988,1057521524
31/12/2017,12532.37988,14241.82031,12359.42969,13850.40039,13850.40039,1492142483
30/12/2017,14392.13965,14461.45996,11962.08984,12531.51953,12531.51953,2387311023
29/12/2017,14398.4502,15109.80957,13951.08008,14392.57031,14392.57031,1733583750
28/12/2017,15416.33984,15505.50977,13466.07031,14398.7002,14398.7002,2425912717
27/12/2017,15757.01953,16514.58984,14534.66016,15416.63965,15416.63965,2162831128
26/12/2017,13830.19043,16094.66992,13748.49023,15756.55957,15756.55957,2198577125
25/12/2017,13789.9502,14467.42969,13010.70996,13833.49023,13833.49023,1487888106
24/12/2017,14396.62988,14413.71973,12166.4502,13789.9502,13789.9502,2428437693
23/12/2017,13664.96973,15493.23047,13356.07031,14396.45996,14396.45996,2491903154
22/12/2017,15632.12012,15823.71973,10875.70996,13664.96973,13664.96973,6245731508
21/12/2017,16461.08984,17301.83008,14952.98047,15632.12012,15632.12012,2619295475
20/12/2017,17521.73047,17813.59961,15642.69043,16461.9707,16461.9707,3791752510
19/12/2017,18971.18945,19021.9707,16812.80078,17523.69922,17523.69922,3136709262
18/12/2017,19065.71094,19221.09961,18114.41992,18972.32031,18972.32031,2597510049
17/12/2017,19346.59961,19870.61914,18750.91016,19065.71094,19065.71094,2264650369
16/12/2017,17594.08008,19587.69922,17318.53906,19345.49023,19345.49023,2078806368
15/12/2017,16467.91016,17987.0293,16442.19922,17604.84961,17604.84961,2682351213
14/12/2017,16286.82031,16941.08008,16023.63965,16467.91016,16467.91016,1773813863
13/12/2017,17083.90039,17267.96094,15669.86035,16286.82031,16286.82031,2576055941
