Date,Open,High,Low,Close,Adj Close,Volume
2017-10-22,10.660000,10.660000,9.660000,10.050000,10.050000,6820128
2017-10-23,10.050000,11.070000,9.610000,10.440000,10.440000,5813981
2017-10-24,10.440000,10.570000,10.120000,10.470000,10.470000,2501205
2017-10-25,10.470000,10.650000,10.270000,10.350000,10.350000,1535859
2017-10-26,10.380000,10.610000,9.800000,10.280000,10.280000,4960231
2017-10-27,10.290000,10.490000,9.970000,10.380000,10.380000,2263283
2017-10-28,10.370000,11.090000,10.370000,10.830000,10.830000,4737104
2017-10-30,10.830000,10.990000,10.720000,10.800000,10.800000,1756231
2017-10-31,10.810000,10.880000,10.510000,10.520000,10.520000,2690976
2017-11-01,10.500000,10.610000,10.110000,10.110000,10.110000,3942019
2017-11-02,10.110000,10.240000,9.430000,10.030000,10.030000,5473464
2017-11-03,9.980000,12.560000,9.950000,12.490000,12.490000,16292181
2017-11-04,12.340000,12.510000,11.270000,11.770000,11.770000,11871000
2017-11-05,11.770000,14.220000,11.560000,13.100000,13.100000,36533029
2017-11-06,13.100000,15.240000,12.940000,13.840000,13.840000,37771453
2017-11-07,13.840000,14.680000,13.150000,13.520000,13.520000,14887497
2017-11-08,13.510000,14.200000,13.450000,13.900000,13.900000,12333252
2017-11-09,13.890000,14.510000,13.770000,14.040000,14.040000,11750819
2017-11-10,14.040000,15.370000,13.510000,14.390000,14.390000,30103347
2017-11-11,14.390000,19.430000,14.320000,19.190001,19.190001,63151518
2017-11-12,19.190001,21.350000,14.450000,14.670000,14.670000,62758144
2017-11-13,14.670000,16.370001,14.110000,15.850000,15.850000,23321419
2017-11-14,15.850000,18.420000,15.830000,17.370001,17.370001,34198257
2017-11-15,17.370001,17.820000,16.549999,17.139999,17.139999,12473387
2017-11-16,17.139999,17.190001,16.110001,16.840000,16.840000,15063836
2017-11-17,16.840000,17.690001,16.480000,17.100000,17.100000,16357225
2017-11-18,17.100000,18.170000,16.730000,17.620001,17.620001,15132468
2017-11-19,17.610001,18.129999,17.500000,17.969999,17.969999,10282308
2017-11-20,17.969999,18.870001,17.910000,18.480000,18.480000,14873354
2017-11-21,18.480000,18.680000,17.070000,17.660000,17.660000,15987742
2017-11-22,17.660000,18.170000,17.600000,17.980000,17.980000,7505480
2017-11-23,17.980000,18.790001,17.610001,17.980000,17.980000,16200280
2017-11-24,17.980000,21.240000,17.610001,21.010000,21.010000,24703667
2017-11-25,21.000000,22.620001,19.980000,21.309999,21.309999,35006322
2017-11-26,21.309999,21.850000,20.629999,21.639999,21.639999,6325382
2017-11-27,21.650000,25.740000,20.889999,24.690001,24.690001,50103027
2017-11-28,24.690001,32.790001,24.540001,31.420000,31.420000,92058130
2017-11-29,31.410000,31.690001,22.500000,24.280001,24.280001,77205274
2017-11-30,24.280001,27.080000,21.660000,26.100000,26.100000,52315064
2017-12-01,26.100000,30.170000,24.180000,29.639999,29.639999,46103703
2017-12-02,29.620001,30.709999,28.129999,28.889999,28.889999,30839247
2017-12-03,28.889999,30.879999,27.709999,28.930000,28.930000,29911136
2017-12-04,28.930000,29.650000,27.469999,29.250000,29.250000,17797932
2017-12-05,29.240000,29.360001,27.809999,28.010000,28.010000,23177784
2017-12-06,27.980000,28.170000,23.850000,24.950001,24.950001,37401366
2017-12-07,24.950001,27.280001,23.170000,23.320000,23.320000,34695828
2017-12-08,23.309999,27.639999,22.129999,27.580000,27.580000,48432219
2017-12-09,27.580000,31.190001,24.799999,27.510000,27.510000,69863715
2017-12-10,27.510000,27.750000,23.350000,25.270000,25.270000,36546255
2017-12-11,25.270000,28.490000,25.230000,26.639999,26.639999,41280353
2017-12-12,26.639999,31.900000,26.580000,29.200001,29.200001,74039282
2017-12-13,29.200001,33.290001,26.469999,29.000000,29.000000,89581611
2017-12-14,28.990000,33.580002,28.790001,31.299999,31.299999,69737007
2017-12-15,31.299999,32.200001,27.230000,31.459999,31.459999,60740566
2017-12-16,31.459999,37.570000,30.299999,33.759998,33.759998,114975177
2017-12-17,33.759998,35.799999,33.349998,34.020000,34.020000,43945001
2017-12-18,34.020000,40.869999,31.340000,38.040001,38.040001,123823768
2017-12-19,38.060001,42.959999,35.880001,37.400002,37.400002,132257190
2017-12-20,37.400002,41.330002,34.200001,38.930000,38.930000,100761205
